,Timestamp,SourceIPOuter,DestinationIPOuter,SourceIPInner,DestinationIPInner,PacketSize,SeqNum,location,type,delay,IAT
43,1738425723.7500212,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,22,gnb,response,,3.075599670410156e-05
44,1738425723.769588,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,23,gnb,request,,0.020154476165771484
45,1738425723.7700498,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,23,gnb,response,,0.02002859115600586
46,1738425723.7900383,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,24,gnb,request,,0.020450353622436523
47,1738425723.7906127,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,24,gnb,response,,0.02056288719177246
48,1738425723.7900639,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,25,gnb,request,,2.5510787963867188e-05
49,1738425723.7906127,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,25,gnb,response,,0.0
50,1738425723.8093147,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,26,gnb,request,,0.019250869750976562
51,1738425723.8098888,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,26,gnb,response,,0.019276142120361328
52,1738425723.8293347,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,27,gnb,request,,0.020020008087158203
53,1738425723.8299663,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,27,gnb,response,,0.02007746696472168
54,1738425723.8293407,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,28,gnb,request,,5.9604644775390625e-06
55,1738425723.8299773,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,28,gnb,response,,1.0967254638671875e-05
56,1738425723.8495696,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,29,gnb,request,,0.020228862762451172
57,1738425723.850216,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,29,gnb,response,,0.020238637924194336
58,1738425723.869556,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,30,gnb,request,,0.019986391067504883
59,1738425723.870254,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,30,gnb,response,,0.020038127899169922
60,1738425723.8695707,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,31,gnb,request,,1.4781951904296875e-05
61,1738425723.8702796,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,31,gnb,response,,2.5510787963867188e-05
62,1738425723.8893232,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,32,gnb,request,,0.01975250244140625
63,1738425723.889999,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,32,gnb,response,,0.019719362258911133
64,1738425723.909326,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,33,gnb,request,,0.02000284194946289
65,1738425723.910013,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,33,gnb,response,,0.020014047622680664
66,1738425723.909332,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,34,gnb,request,,5.9604644775390625e-06
67,1738425723.9100244,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,34,gnb,response,,1.1444091796875e-05
68,1738425723.9293928,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,35,gnb,request,,0.02006077766418457
69,1738425723.9300451,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,35,gnb,response,,0.020020723342895508
70,1738425723.9495099,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,36,gnb,request,,0.02011704444885254
71,1738425723.9503467,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,36,gnb,response,,0.02030158042907715
72,1738425723.9495397,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,37,gnb,request,,2.9802322387695312e-05
73,1738425723.9503472,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,37,gnb,response,,4.76837158203125e-07
74,1738425723.9694989,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,38,gnb,request,,0.019959211349487305
75,1738425723.970065,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,38,gnb,response,,0.019717931747436523
76,1738425723.9892538,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,39,gnb,request,,0.019754886627197266
77,1738425723.9899411,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,39,gnb,response,,0.01987600326538086
78,1738425723.9892595,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,40,gnb,request,,5.7220458984375e-06
79,1738425723.989952,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,40,gnb,response,,1.0967254638671875e-05
80,1738425724.009375,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,41,gnb,request,,0.02011561393737793
81,1738425724.0097253,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.60,142,41,gnb,response,,0.019773244857788086
82,1738425724.0294511,172.16.32.50,172.16.32.51,10.45.0.60,10.45.0.1,142,42,gnb,request,,0.02007603645324707
