,Timestamp,SourceIPOuter,DestinationIPOuter,SourceIPInner,DestinationIPInner,PacketSize,SeqNum,location,type,delay,IAT
0,1738424470.9214976,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,1,gnb,request,,
1,1738424470.9221237,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,1,gnb,response,,
2,1738424470.941417,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,2,gnb,request,,0.019919395446777344
3,1738424470.9419737,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,2,gnb,response,,0.01985001564025879
4,1738424470.941431,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,3,gnb,request,,1.4066696166992188e-05
5,1738424470.9419935,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,3,gnb,response,,1.9788742065429688e-05
6,1738424470.961434,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,4,gnb,request,,0.02000284194946289
7,1738424470.9621007,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,4,gnb,response,,0.020107269287109375
8,1738424470.9814358,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,5,gnb,request,,0.020001888275146484
9,1738424470.9820297,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,5,gnb,response,,0.019928932189941406
10,1738424471.0013905,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,6,gnb,request,,0.019954681396484375
11,1738424471.00173,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,6,gnb,response,,0.019700288772583008
12,1738424471.0014043,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,7,gnb,request,,1.3828277587890625e-05
13,1738424471.001751,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,7,gnb,response,,2.09808349609375e-05
14,1738424471.0214143,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,8,gnb,request,,0.020009994506835938
15,1738424471.0220034,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,8,gnb,response,,0.020252466201782227
16,1738424471.0414407,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,9,gnb,request,,0.020026445388793945
17,1738424471.0420167,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,9,gnb,response,,0.02001333236694336
18,1738424471.041458,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,10,gnb,request,,1.71661376953125e-05
19,1738424471.0420384,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,10,gnb,response,,2.1696090698242188e-05
20,1738424471.0613391,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,11,gnb,request,,0.019881248474121094
21,1738424471.0618496,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,11,gnb,response,,0.019811153411865234
22,1738424471.0814362,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,12,gnb,request,,0.020097017288208008
23,1738424471.0820274,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,12,gnb,response,,0.020177841186523438
24,1738424471.1014304,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,13,gnb,request,,0.019994258880615234
25,1738424471.102049,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,13,gnb,response,,0.020021677017211914
26,1738424471.1014447,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,14,gnb,request,,1.430511474609375e-05
27,1738424471.1020684,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,14,gnb,response,,1.9311904907226562e-05
28,1738424471.1214232,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,15,gnb,request,,0.01997852325439453
29,1738424471.1219923,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,15,gnb,response,,0.019923925399780273
30,1738424471.1412432,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,16,gnb,request,,0.019819974899291992
31,1738424471.141817,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,16,gnb,response,,0.019824743270874023
32,1738424471.14125,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,17,gnb,request,,6.67572021484375e-06
33,1738424471.141837,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,17,gnb,response,,1.9788742065429688e-05
34,1738424471.1612768,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,18,gnb,request,,0.02002692222595215
35,1738424471.1618493,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,18,gnb,response,,0.020012378692626953
36,1738424471.181394,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,19,gnb,request,,0.02011728286743164
37,1738424471.182005,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,19,gnb,response,,0.020155668258666992
38,1738424471.1814077,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,20,gnb,request,,1.3589859008789062e-05
39,1738424471.1820223,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,20,gnb,response,,1.7404556274414062e-05
40,1738424471.201378,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,21,gnb,request,,0.019970417022705078
41,1738424471.2019663,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,21,gnb,response,,0.019943952560424805
42,1738424471.2214167,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,22,gnb,request,,0.020038604736328125
43,1738424471.2219496,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,22,gnb,response,,0.019983291625976562
44,1738424471.2214308,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,23,gnb,request,,1.4066696166992188e-05
45,1738424471.221972,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,23,gnb,response,,2.2411346435546875e-05
46,1738424471.2413871,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,24,gnb,request,,0.019956350326538086
47,1738424471.2419343,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,24,gnb,response,,0.019962310791015625
48,1738424471.261333,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,25,gnb,request,,0.019945859909057617
49,1738424471.261934,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,25,gnb,response,,0.01999974250793457
50,1738424471.2613392,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,26,gnb,request,,6.198883056640625e-06
51,1738424471.2619512,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,26,gnb,response,,1.71661376953125e-05
52,1738424471.2812283,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,27,gnb,request,,0.019889116287231445
53,1738424471.281473,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,27,gnb,response,,0.019521713256835938
54,1738424471.3013484,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,28,gnb,request,,0.02012014389038086
55,1738424471.3021226,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,28,gnb,response,,0.02064967155456543
56,1738424471.301366,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,29,gnb,request,,1.7642974853515625e-05
57,1738424471.3021405,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,29,gnb,response,,1.7881393432617188e-05
58,1738424471.3214064,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,30,gnb,request,,0.020040273666381836
59,1738424471.3221276,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,30,gnb,response,,0.019987106323242188
60,1738424471.341381,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,31,gnb,request,,0.019974708557128906
61,1738424471.3419943,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,31,gnb,response,,0.0198667049407959
62,1738424471.341395,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,32,gnb,request,,1.3828277587890625e-05
63,1738424471.3420131,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,32,gnb,response,,1.8835067749023438e-05
64,1738424471.361439,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,33,gnb,request,,0.02004408836364746
65,1738424471.362042,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,33,gnb,response,,0.02002882957458496
66,1738424471.3814452,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,34,gnb,request,,0.020006179809570312
67,1738424471.38207,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,34,gnb,response,,0.020028114318847656
68,1738424471.381458,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,35,gnb,request,,1.2874603271484375e-05
69,1738424471.3820872,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,35,gnb,response,,1.71661376953125e-05
70,1738424471.4013417,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,36,gnb,request,,0.01988363265991211
71,1738424471.401946,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,36,gnb,response,,0.019858837127685547
72,1738424471.4213877,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,37,gnb,request,,0.020045995712280273
73,1738424471.4220672,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,37,gnb,response,,0.020121097564697266
74,1738424471.4213989,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,38,gnb,request,,1.1205673217773438e-05
75,1738424471.422098,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,38,gnb,response,,3.075599670410156e-05
76,1738424471.4413748,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,39,gnb,request,,0.019975900650024414
77,1738424471.441954,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,39,gnb,response,,0.019855976104736328
78,1738424471.4612703,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,40,gnb,request,,0.019895553588867188
79,1738424471.4620097,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,40,gnb,response,,0.020055770874023438
80,1738424471.4612756,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,41,gnb,request,,5.245208740234375e-06
81,1738424471.462027,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,41,gnb,response,,1.7404556274414062e-05
82,1738424471.4814231,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,42,gnb,request,,0.02014756202697754
83,1738424471.4820275,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,42,gnb,response,,0.020000457763671875
84,1738424471.501507,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,43,gnb,request,,0.020083904266357422
85,1738424471.50213,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,43,gnb,response,,0.020102500915527344
86,1738424471.5015206,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,44,gnb,request,,1.3589859008789062e-05
87,1738424471.502153,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,44,gnb,response,,2.288818359375e-05
88,1738424471.521465,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,45,gnb,request,,0.019944429397583008
89,1738424471.5220766,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,45,gnb,response,,0.019923686981201172
90,1738424471.5413716,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,46,gnb,request,,0.01990652084350586
91,1738424471.5420141,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,46,gnb,response,,0.019937515258789062
92,1738424471.5413847,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,47,gnb,request,,1.3113021850585938e-05
93,1738424471.542038,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,47,gnb,response,,2.384185791015625e-05
94,1738424471.5614045,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,48,gnb,request,,0.0200197696685791
95,1738424471.5621428,172.16.32.51,172.16.32.50,10.45.0.1,10.45.0.53,142,48,gnb,response,,0.02010488510131836
96,1738424471.5814185,172.16.32.50,172.16.32.51,10.45.0.53,10.45.0.1,142,49,gnb,request,,0.020014047622680664
