,Timestamp,SourceIPOuter,DestinationIPOuter,SourceIPInner,DestinationIPInner,PacketSize,SeqNum,location,type,delay,IAT
0,1738425723.4636524,,,10.45.0.60,10.45.0.1,84,1,ue,request,,
1,1738425723.4954593,,,10.45.0.1,10.45.0.60,84,1,ue,response,,
2,1738425723.4778605,,,10.45.0.60,10.45.0.1,84,2,ue,request,,0.014208078384399414
3,1738425723.4954598,,,10.45.0.1,10.45.0.60,84,2,ue,response,,4.76837158203125e-07
4,1738425723.4938402,,,10.45.0.60,10.45.0.1,84,3,ue,request,,0.015979766845703125
5,1738425723.5154335,,,10.45.0.1,10.45.0.60,84,3,ue,response,,0.0199737548828125
6,1738425723.505507,,,10.45.0.60,10.45.0.1,84,4,ue,request,,0.01166677474975586
7,1738425723.5154345,,,10.45.0.1,10.45.0.60,84,4,ue,response,,9.5367431640625e-07
8,1738425723.5155168,,,10.45.0.60,10.45.0.1,84,5,ue,request,,0.010009765625
9,1738425723.5359232,,,10.45.0.1,10.45.0.60,84,5,ue,response,,0.020488739013671875
10,1738425723.5338569,,,10.45.0.60,10.45.0.1,84,6,ue,request,,0.018340110778808594
11,1738425723.555941,,,10.45.0.1,10.45.0.60,84,6,ue,response,,0.02001786231994629
12,1738425723.5460272,,,10.45.0.60,10.45.0.1,84,7,ue,request,,0.01217031478881836
13,1738425723.5559416,,,10.45.0.1,10.45.0.60,84,7,ue,response,,4.76837158203125e-07
14,1738425723.556019,,,10.45.0.60,10.45.0.1,84,8,ue,request,,0.009991884231567383
15,1738425723.5754368,,,10.45.0.1,10.45.0.60,84,8,ue,response,,0.019495248794555664
16,1738425723.5698428,,,10.45.0.60,10.45.0.1,84,9,ue,request,,0.013823747634887695
17,1738425723.5954623,,,10.45.0.1,10.45.0.60,84,9,ue,response,,0.02002549171447754
18,1738425723.585513,,,10.45.0.60,10.45.0.1,84,10,ue,request,,0.015670299530029297
19,1738425723.595463,,,10.45.0.1,10.45.0.60,84,10,ue,response,,7.152557373046875e-07
20,1738425723.5955229,,,10.45.0.60,10.45.0.1,84,11,ue,request,,0.010009765625
21,1738425723.6159625,,,10.45.0.1,10.45.0.60,84,11,ue,response,,0.020499467849731445
22,1738425723.6098678,,,10.45.0.60,10.45.0.1,84,12,ue,request,,0.014344930648803711
23,1738425723.6359725,,,10.45.0.1,10.45.0.60,84,12,ue,response,,0.020009994506835938
24,1738425723.6260912,,,10.45.0.60,10.45.0.1,84,13,ue,request,,0.016223430633544922
25,1738425723.6359727,,,10.45.0.1,10.45.0.60,84,13,ue,response,,2.384185791015625e-07
26,1738425723.6360848,,,10.45.0.60,10.45.0.1,84,14,ue,request,,0.009993553161621094
27,1738425723.6554735,,,10.45.0.1,10.45.0.60,84,14,ue,response,,0.019500732421875
28,1738425723.64984,,,10.45.0.60,10.45.0.1,84,15,ue,request,,0.013755321502685547
29,1738425723.675495,,,10.45.0.1,10.45.0.60,84,15,ue,response,,0.020021438598632812
30,1738425723.6655517,,,10.45.0.60,10.45.0.1,84,16,ue,request,,0.015711545944213867
31,1738425723.6754956,,,10.45.0.1,10.45.0.60,84,16,ue,response,,7.152557373046875e-07
32,1738425723.6755586,,,10.45.0.60,10.45.0.1,84,17,ue,request,,0.010006904602050781
33,1738425723.695501,,,10.45.0.1,10.45.0.60,84,17,ue,response,,0.020005464553833008
34,1738425723.689858,,,10.45.0.60,10.45.0.1,84,18,ue,request,,0.014299392700195312
35,1738425723.7160068,,,10.45.0.1,10.45.0.60,84,18,ue,response,,0.020505666732788086
36,1738425723.705613,,,10.45.0.60,10.45.0.1,84,19,ue,request,,0.01575493812561035
37,1738425723.7160072,,,10.45.0.1,10.45.0.60,84,19,ue,response,,4.76837158203125e-07
38,1738425723.7160323,,,10.45.0.60,10.45.0.1,84,20,ue,request,,0.010419368743896484
39,1738425723.735508,,,10.45.0.1,10.45.0.60,84,20,ue,response,,0.019500732421875
40,1738425723.7298405,,,10.45.0.60,10.45.0.1,84,21,ue,request,,0.013808250427246094
41,1738425723.7555327,,,10.45.0.1,10.45.0.60,84,21,ue,response,,0.020024776458740234
42,1738425723.7455895,,,10.45.0.60,10.45.0.1,84,22,ue,request,,0.015748977661132812
43,1738425723.7555337,,,10.45.0.1,10.45.0.60,84,22,ue,response,,9.5367431640625e-07
44,1738425723.755598,,,10.45.0.60,10.45.0.1,84,23,ue,request,,0.010008573532104492
45,1738425723.7760336,,,10.45.0.1,10.45.0.60,84,23,ue,response,,0.02049994468688965
46,1738425723.7698548,,,10.45.0.60,10.45.0.1,84,24,ue,request,,0.014256715774536133
47,1738425723.7960396,,,10.45.0.1,10.45.0.60,84,24,ue,response,,0.02000594139099121
48,1738425723.786157,,,10.45.0.60,10.45.0.1,84,25,ue,request,,0.016302108764648438
49,1738425723.79604,,,10.45.0.1,10.45.0.60,84,25,ue,response,,4.76837158203125e-07
50,1738425723.796152,,,10.45.0.60,10.45.0.1,84,26,ue,request,,0.009995222091674805
51,1738425723.815542,,,10.45.0.1,10.45.0.60,84,26,ue,response,,0.019501924514770508
52,1738425723.8098404,,,10.45.0.60,10.45.0.1,84,27,ue,request,,0.013688325881958008
53,1738425723.8355684,,,10.45.0.1,10.45.0.60,84,27,ue,response,,0.020026445388793945
54,1738425723.825627,,,10.45.0.60,10.45.0.1,84,28,ue,request,,0.01578664779663086
55,1738425723.8355691,,,10.45.0.1,10.45.0.60,84,28,ue,response,,7.152557373046875e-07
56,1738425723.8356388,,,10.45.0.60,10.45.0.1,84,29,ue,request,,0.010011672973632812
57,1738425723.8560596,,,10.45.0.1,10.45.0.60,84,29,ue,response,,0.020490407943725586
58,1738425723.8499157,,,10.45.0.60,10.45.0.1,84,30,ue,request,,0.014276981353759766
59,1738425723.8760705,,,10.45.0.1,10.45.0.60,84,30,ue,response,,0.020010948181152344
60,1738425723.8661933,,,10.45.0.60,10.45.0.1,84,31,ue,request,,0.016277551651000977
61,1738425723.8760705,,,10.45.0.1,10.45.0.60,84,31,ue,response,,0.0
62,1738425723.8761845,,,10.45.0.60,10.45.0.1,84,32,ue,request,,0.009991168975830078
63,1738425723.895076,,,10.45.0.1,10.45.0.60,84,32,ue,response,,0.019005537033081055
64,1738425723.8898385,,,10.45.0.60,10.45.0.1,84,33,ue,request,,0.013653993606567383
65,1738425723.9150927,,,10.45.0.1,10.45.0.60,84,33,ue,response,,0.02001667022705078
66,1738425723.9051454,,,10.45.0.60,10.45.0.1,84,34,ue,request,,0.015306949615478516
67,1738425723.9150937,,,10.45.0.1,10.45.0.60,84,34,ue,response,,9.5367431640625e-07
68,1738425723.9151495,,,10.45.0.60,10.45.0.1,84,35,ue,request,,0.010004043579101562
69,1738425723.9351017,,,10.45.0.1,10.45.0.60,84,35,ue,response,,0.020008087158203125
70,1738425723.933856,,,10.45.0.60,10.45.0.1,84,36,ue,request,,0.018706560134887695
71,1738425723.9556048,,,10.45.0.1,10.45.0.60,84,36,ue,response,,0.02050304412841797
72,1738425723.945217,,,10.45.0.60,10.45.0.1,84,37,ue,request,,0.011360883712768555
73,1738425723.9556053,,,10.45.0.1,10.45.0.60,84,37,ue,response,,4.76837158203125e-07
74,1738425723.955629,,,10.45.0.60,10.45.0.1,84,38,ue,request,,0.010412216186523438
75,1738425723.9751053,,,10.45.0.1,10.45.0.60,84,38,ue,response,,0.019500017166137695
76,1738425723.9698398,,,10.45.0.60,10.45.0.1,84,39,ue,request,,0.014210700988769531
77,1738425723.9951262,,,10.45.0.1,10.45.0.60,84,39,ue,response,,0.02002096176147461
78,1738425723.9851968,,,10.45.0.60,10.45.0.1,84,40,ue,request,,0.015357017517089844
79,1738425723.9951267,,,10.45.0.1,10.45.0.60,84,40,ue,response,,4.76837158203125e-07
80,1738425723.9952002,,,10.45.0.60,10.45.0.1,84,41,ue,request,,0.010003328323364258
81,1738425724.0151324,,,10.45.0.1,10.45.0.60,84,41,ue,response,,0.02000570297241211
82,1738425724.0098565,,,10.45.0.60,10.45.0.1,84,42,ue,request,,0.014656305313110352
83,1738425724.0351348,,,10.45.0.1,10.45.0.60,84,42,ue,response,,0.020002365112304688
84,1738425724.0252285,,,10.45.0.60,10.45.0.1,84,43,ue,request,,0.015372037887573242
85,1738425724.0351353,,,10.45.0.1,10.45.0.60,84,43,ue,response,,4.76837158203125e-07
